,attack_bias,back_rank,center,clustering,connectivity,double_corner,exchange_favorability,king_adv_pressure,material,material_adv,mobility,mobility_safe,opp_mobility_restrict,piece_square,promotion_potential
attack_bias,0,4,5,3,4,3,0,4,6,3,5,4,0,0,4
back_rank,4,0,5,3,4,0,3,0,5,3,0,3,0,4,4
center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clustering,3,3,0,0,0,3,3,3,0,3,5,3,3,0,4
connectivity,0,4,0,0,0,0,0,0,0,4,6,0,0,0,5
double_corner,3,3,5,3,4,0,3,0,5,3,5,3,0,4,4
exchange_favorability,0,3,4,3,4,3,0,3,5,3,5,3,0,0,4
king_adv_pressure,4,0,5,3,4,3,3,0,5,3,0,0,0,0,4
material,6,5,7,0,0,5,5,5,0,5,7,5,5,0,0
material_adv,0,3,4,3,4,3,0,3,0,0,0,0,3,0,4
mobility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobility_safe,0,0,5,3,4,0,0,0,5,0,0,0,0,5,0
opp_mobility_restrict,4,4,6,3,5,3,3,0,0,0,6,4,0,0,4
piece_square,5,4,6,0,5,0,4,0,0,0,0,0,0,0,0
promotion_potential,4,0,0,0,5,4,4,4,0,0,0,0,4,5,0
