,attack_bias,back_rank,center,clustering,connectivity,double_corner,exchange_favorability,king_adv_pressure,material,material_adv,mobility,mobility_safe,opp_mobility_restrict,piece_square,promotion_potential
attack_bias,0,0,10,7,8,6,6,0,0,6,10,7,0,9,9
back_rank,0,0,9,6,7,6,0,6,6,6,10,6,0,9,8
center,0,9,0,9,10,9,0,9,0,9,13,9,0,12,11
clustering,7,6,0,0,0,5,5,6,5,5,9,6,0,8,8
connectivity,8,7,10,7,0,7,7,7,7,7,11,0,0,10,9
double_corner,6,6,0,5,7,0,5,0,5,5,9,6,0,8,7
exchange_favorability,6,0,9,5,7,5,0,0,0,5,9,6,0,8,7
king_adv_pressure,7,6,9,6,7,6,6,0,6,6,0,6,6,9,8
material,6,6,9,5,7,5,5,6,0,5,9,6,6,8,7
material_adv,6,6,9,5,7,5,5,6,5,0,9,6,6,8,7
mobility,0,10,13,9,11,9,0,10,9,9,0,10,0,12,11
mobility_safe,0,6,0,6,8,0,0,6,6,6,10,0,0,9,8
opp_mobility_restrict,7,6,0,6,8,6,6,6,6,6,11,7,0,9,8
piece_square,9,9,12,0,0,8,8,9,8,8,12,9,0,0,10
promotion_potential,9,8,11,8,9,0,7,8,7,7,0,8,0,10,0
