heuristic,games,wins,draws,losses,win_pct,avg_plies,avg_time_s
material,180,90,20,70,50.0,44.6,20.091
material_adv,180,90,0,90,50.0,39.3,23.718
opp_mobility_restrict,191,92,81,18,48.2,60.7,41.930
king_adv_pressure,196,88,29,79,44.9,54.4,19.011
connectivity,226,97,33,96,42.9,45.7,25.771
mobility,275,113,40,122,41.1,51.1,32.435
back_rank,196,79,32,85,40.3,44.6,19.863
piece_square,258,102,27,129,39.5,45.5,26.816
promotion_potential,236,92,26,118,39.0,46.2,22.675
double_corner,180,69,34,77,38.3,49.3,18.628
clustering,184,70,30,84,38.0,49.1,22.093
exchange_favorability,180,67,53,60,37.2,57.5,24.960
attack_bias,210,78,61,71,37.1,57.3,27.709
center,274,100,73,101,36.5,53.1,22.378
mobility_safe,200,65,43,92,32.5,50.3,51.117
